印表機名稱	佇列狀態	佇列中的工作	位置	註解	伺服器名稱	驅動程式名稱	驅動程式版本	驅動程式類型
TSC TTP-247 (重新導向 4)	就緒	0			Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
TSC TTP-244M Pro_1 (重新導向 4)	就緒	0			Bartender1 (本機)	TSC TTP-244M Pro	2022.3.0.0	類型 3 - 使用者模式
TSC TTP-244 Pro (重新導向 4)	就緒	0			Bartender1 (本機)	TSC TTP-244 Pro	2022.3.0.0	類型 3 - 使用者模式
TSC MB240 (重新導向 4)	就緒	0			Bartender1 (本機)	TSC MB240	2022.3.0.0	類型 3 - 使用者模式
TSC Alpha-2R (重新導向 4)	就緒	0			Bartender1 (本機)	TSC Alpha-2R	2022.3.0.0	類型 3 - 使用者模式
PR_192.168.19.5_5.5X6	就緒	0	1F 到貨登記站	常態使用 / SNMP : Disable	Bartender1 (本機)	TSC Alpha-2R	2022.3.0.0	類型 3 - 使用者模式
PR_192.168.19.4_5.5X6	就緒	0	1F 到貨登記站	常態使用 / SNMP : Disable	Bartender1 (本機)	TSC Alpha-2R	2022.3.0.0	類型 3 - 使用者模式
PR_192.168.19.180_5.5X6	就緒	0	2F IT測試標籤機3	非常態使用 / SNMP : Enable	Bartender1 (本機)	Honeywell RP2	2023.1.0.0	類型 3 - 使用者模式
NPI5125E9 (HP LaserJet M402dn)	就緒	0			Bartender1 (本機)	HP LaserJet Pro M402-M403 n-dne PCL 6	8.0.1329.6488	類型 3 - 使用者模式
Microsoft XPS Document Writer (重新導向 4)	就緒	0			Bartender1 (本機)	Microsoft XPS Document Writer v4	10.0.14393.0	類型 4 - 使用者模式
Microsoft XPS Document Writer	就緒	0			Bartender1 (本機)	Microsoft XPS Document Writer v4	10.0.14393.0	類型 4 - 使用者模式
Microsoft Print to PDF (重新導向 4)	就緒	0			Bartender1 (本機)	Microsoft Print To PDF	10.0.14393.0	類型 4 - 使用者模式
Microsoft Print to PDF	就緒	0			Bartender1 (本機)	Microsoft Print To PDF	10.0.14393.0	類型 4 - 使用者模式
Fax (重新導向 4)	就緒	0			Bartender1 (本機)	Microsoft Shared Fax Driver	10.0.14393.6167	類型 3 - 使用者模式
Ec_192.168.19.222	就緒	0	4F 驗放站09	常態使用 / SNMP : Disable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.220	就緒	0	4F 驗放站10	常態使用 / SNMP : Disable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.218	就緒	0	4F 驗放站11	常態使用 / SNMP : Disable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.216	就緒	0	4F 驗放站12	常態使用 / SNMP : Disable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.214	就緒	0	4F 驗放站13	常態使用 / SNMP : Disable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.212	就緒	0	4F 驗放站14	常態使用 / SNMP : Disable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.210	就緒	0	4F 驗放站15	常態使用 / SNMP : Disable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.208	就緒	0	4F 驗放站16	常態使用 / SNMP : Disable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.206	就緒	0	4F 驗放站17	常態使用 / SNMP : Disable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.204	就緒	0	4F 驗放站18	常態使用 / SNMP : Disable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.202	就緒	0	4F 驗放站19	常態使用 / SNMP : Disable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.200	就緒	0	4F 驗放站20	常態使用 / SNMP : Disable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
EC_192.168.19.2	就緒	0	2F 標籤測試機	IT_TEST / SNMP : Disable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
EC_192.168.19.195	就緒	0	4F 驗放站17	常態使用 / SNMP : Disable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.184	就緒	0	4F 備援工作站一	備援工作站 / SNMP : Disable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.140	離線	0	3F  驗放站6	備援機，非常態使用 / SNMP : Enable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.138	離線	0	3F  驗放站5	備援機，非常態使用 / SNMP : Enable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.136	離線	0	3F 驗放站4	備援機，非常態使用 / SNMP : Enable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.134	離線	0	3F 驗放站3	備援機，非常態使用 / SNMP : Enable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.132	離線	0	3F 驗放站2	備援機，非常態使用 / SNMP : Enable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
EC_192.168.19.130	離線	0	3F 驗放站1	備援機，非常態使用 / SNMP : Enable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.114	就緒	0	4F 驗放站01	常態使用 / SNMP : Disable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.112	錯誤	1	4F 驗放站02	常態使用 / SNMP : Disable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.110	就緒	0	4F 驗放站03	常態使用 / SNMP : Disable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.108	就緒	0	4F 驗放站04	常態使用 / SNMP : Disable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.106	就緒	0	4F 驗放站05	常態使用 / SNMP : Disable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.104	就緒	0	4F 驗放站06	常態使用 / SNMP : Disable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.102	就緒	0	4F 驗放站07	常態使用 / SNMP : Disable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
Ec_192.168.19.100	就緒	0	4F 驗放08	常態使用 / SNMP : Disable	Bartender1 (本機)	TSC TTP-247	2022.3.0.0	類型 3 - 使用者模式
